[16:49:35] [RUNNING] Avg:118246c (ΔH:[118256,118245,118245,118238]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118276c (ΔH:[118271,118275,118275,118283]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118302c (ΔH:[118300,118305,118305,118298]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118332c (ΔH:[118330,118335,118335,118328]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118366c (ΔH:[118375,118365,118365,118358]) | MaxDiff:17c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118396c (ΔH:[118390,118395,118395,118403]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118426c (ΔH:[118420,118425,118425,118433]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118455c (ΔH:[118465,118454,118454,118448]) | MaxDiff:17c (Limit:750c) | V:[2989,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118485c (ΔH:[118480,118484,118484,118493]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118516c (ΔH:[118510,118514,118514,118526]) | MaxDiff:16c (Limit:750c) | V:[3000,2997,2997,2990]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118542c (ΔH:[118555,118544,118544,118526]) | MaxDiff:29c (Limit:750c) | V:[2982,2989,2989,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118575c (ΔH:[118570,118574,118574,118583]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
